,,City,Company,Link,State,Title
monster.com,31,Naples,"Arthrex Manufacturing, Inc.",http://jobview.monster.com:80/Sr-Manufacturing-Engineer-Molding-Process-Job-Naples-FL-142181007.aspx?jobPosition=7,FL,Sr. Manufacturing Engineer - Molding Process
monster.com,32,Chicago,IGATE,http://jobview.monster.com:80/SAS-JMP-Lead-Job-Chicago-IL-142016020.aspx?jobPosition=8,IL,SAS JMP Lead
monster.com,33,New York,MediaCom,http://jobview.monster.com:80/Business-Intelligence-Manager-Marketing-Analytics-Leader-needed-for-Media-Powerhouse-Job-New-York-NY-141166413.aspx?jobPosition=9,NY,Business Intelligence Manager - Marketing Analytics Leader needed for Media Powerhouse
monster.com,34,Columbia,JHUAPL,http://jobview.monster.com:80/Maritime-Threat-Operations-Assessment-Analyst-Job-Columbia-MD-140805427.aspx?jobPosition=10,MD,Maritime Threat and Operations Assessment Analyst
monster.com,35,Watertown,Harvard Business Publishing,http://jobview.monster.com:80/Director-of-Analytics-Insight-Job-Watertown-MA-140728481.aspx?jobPosition=11,MA,Director of Analytics and Insight
monster.com,36,Webster,MAPFRE Insurance,http://jobview.monster.com:80/Manager-Predictive-Analytics-Job-Webster-MA-129533496.aspx?jobPosition=12,MA,"Manager, Predictive Analytics"
monster.com,37,Boston,Boston Globe Media,http://jobview.monster.com:80/Manager-of-Digital-Analytics-Operations-Job-Boston-MA-137306206.aspx?jobPosition=13,MA,Manager of Digital Analytics and Operations
monster.com,38,Hingham,Talbots,http://jobview.monster.com:80/Director-Customer-Marketing-Analytics-Job-Hingham-MA-143224692.aspx?jobPosition=14,MA,Director Customer Marketing Analytics
monster.com,39,Middletown,AT&T - IT/Corporate Support,http://jobview.monster.com:80/Sr-Member-of-Technical-Staff-Labs-Research-User-Defined-Network-Cloud-Job-Middletown-NJ-143227680.aspx?jobPosition=15,NJ,Sr Member of Technical Staff (Labs Research User Defined Network Cloud)
monster.com,40,Atlanta,CyberCoders,http://jobview.monster.com:80/Data-Scientist-Disruptive-agriculture-technology-platform-Job-Atlanta-GA-143151770.aspx?jobPosition=16,GA,Data Scientist - Disruptive agriculture technology platform
monster.com,41,Raleigh,MetLife,http://jobview.monster.com:80/TRICARE-Lead-DB2-Database-Administrator-Job-Raleigh-NC-143013158.aspx?jobPosition=17,NC,TRICARE - Lead DB2 Database Administrator
monster.com,42,Palo Alto,Robert Bosch LLC,http://jobview.monster.com:80/Senior-Data-Scientist-Job-Palo-Alto-CA-142794148.aspx?jobPosition=18,CA,Senior Data Scientist
monster.com,43,Bellevue,T-Mobile,http://jobview.monster.com:80/Manager-Analysis-Job-Bellevue-WA-142752488.aspx?jobPosition=19,WA,"Manager, Analysis"
monster.com,44,Philadelphia,"Analytic Recruiting, Inc.",http://jobview.monster.com:80/Data-Analyst-Job-Philadelphia-PA-142654270.aspx?jobPosition=20,PA,Data Analyst
monster.com,45,Waltham,The Judge Group,http://jobview.monster.com:80/Big-Data-Analytics-Architect-Job-Waltham-MA-142032034.aspx?jobPosition=21,MA,Big Data /Analytics Architect
monster.com,46,Webster,MAPFRE Insurance,http://jobview.monster.com:80/Statistician-II-Job-Webster-MA-129533308.aspx?jobPosition=22,MA,Statistician II
monster.com,47,Ambler,CyberCoders,http://jobview.monster.com:80/Sr-Data-Analyst-Job-Ambler-PA-143152645.aspx?jobPosition=23,PA,Sr Data Analyst
monster.com,48,Raleigh,MetLife,http://jobview.monster.com:80/TRICARE-Oracle-Database-Administrator-Job-Raleigh-NC-142425999.aspx?jobPosition=24,NC,TRICARE- Oracle Database Administrator
monster.com,49,Palo Alto,AT&T - IT/Corporate Support,http://jobview.monster.com:80/Senior-Data-Scientist-Job-Palo-Alto-CA-142724273.aspx?jobPosition=25,CA,Senior Data Scientist
monster.com,50,New York,"Analytic Recruiting, Inc.",http://jobview.monster.com:80/VP-SVP-Financial-Services-Vertical-%E2%80%93-New-York-NY-Job-New-York-NY-142022976.aspx?jobPosition=1,NY,"VP/SVP Financial Services Vertical - New York, NY"
monster.com,51,San Jose,The Judge Group,http://jobview.monster.com:80/Lead-Server-side-Java-Engineer-Job-San-Jose-CA-142031293.aspx?jobPosition=2,CA,Lead Server-side Java Engineer
monster.com,52,San Francisco,CyberCoders,http://jobview.monster.com:80/Java-Developer-Client-Side-Adobe-Experience-Manager-Job-San-Francisco-CA-143155850.aspx?jobPosition=3,CA,Java Developer (Client-Side Adobe Experience Manager)
monster.com,54,Cambridge,CyberCoders,http://jobview.monster.com:80/Data-Scientist-SEM-Optimization-for-Large-ECommerce-Platform-Job-Cambridge-MA-142709039.aspx?jobPosition=5,MA,Data Scientist - SEM Optimization for Large ECommerce Platform
monster.com,55,Durham,CyberCoders,http://jobview.monster.com:80/Data-Scientist-for-an-Innovative-Company-Job-Durham-NC-142708892.aspx?jobPosition=6,NC,Data Scientist for an Innovative Company
monster.com,56,Redwood City,CyberCoders,http://jobview.monster.com:80/Data-Science-Engineer-Series-A-Start-Up-ETL-Big-Data-Job-Redwood-City-CA-142034203.aspx?jobPosition=7,CA,Data Science Engineer - Series A Start Up - ETL/Big Data
monster.com,57,Boston North,Thermo Fisher Scientific,http://jobview.monster.com:80/Senior-Data-Scientist-Job-Boston-North-MA-143174426.aspx?jobPosition=8,MA,Senior Data Scientist
monster.com,58,Phoenix,Drivetime,http://jobview.monster.com:80/Business-Intelligence-Developer-Job-Phoenix-AZ-142399292.aspx?jobPosition=9,AZ,Business Intelligence Developer
monster.com,59,Raleigh,MetLife,http://jobview.monster.com:80/Senior-Websphere-Technical-Support-Analyst-%E2%80%93-TRICARE-Job-Raleigh-NC-142945934.aspx?jobPosition=10,NC,Senior Websphere Technical Support Analyst - TRICARE
monster.com,60,Falls Church,UnitedHealth Group,http://jobview.monster.com:80/Managing-Consultant-Health-Economist-National-Security-Emergency-Preparedness-Practice-Job-Falls-Church-VA-142360439.aspx?jobPosition=11,VA,"Managing Consultant and Health Economist, National Security and Emergency Preparedness Practice"
monster.com,61,Foster City,EchoStar,http://jobview.monster.com:80/Principal-Java-Engineer-Job-Foster-City-CA-142142597.aspx?jobPosition=12,CA,Principal Java Engineer
monster.com,62,New York,Universal Software Corporation,http://jobview.monster.com:80/Hadoop-Developer-Job-New-York-NY-142544891.aspx?jobPosition=13,NY,Hadoop Developer
monster.com,63,Northbrook,Allstate Insurance,http://jobview.monster.com:80/Sr-Predictive-Modeler-Job-Northbrook-IL-142085893.aspx?jobPosition=14,IL,Sr Predictive Modeler
monster.com,64,New York,CyberCoders,http://jobview.monster.com:80/Lead-Computer-Vision-Engineer-Work-from-Home-OK-Job-New-York-NY-143152744.aspx?jobPosition=15,NY,Lead Computer Vision Engineer - Work from Home OK
monster.com,65,Phoenix,Drivetime,http://jobview.monster.com:80/SQL-Server-Database-Developer-Job-Phoenix-AZ-142307612.aspx?jobPosition=16,AZ,SQL Server Database Developer
monster.com,66,Bridgewater,MetLife,http://jobview.monster.com:80/Lead-ETL-Database-Administrator-Job-Bridgewater-NJ-142289779.aspx?jobPosition=17,NJ,Lead ETL - Database Administrator
monster.com,67,New York,CyberCoders,http://jobview.monster.com:80/Lead-Computer-Vision-Engineer-Matlab-or-F-Java-Python-or-C-Job-New-York-NY-143152739.aspx?jobPosition=18,NY,"Lead Computer Vision Engineer - Matlab or F, Java, Python or C"
indeed.com,0,Windsor Mill,Quality Health Strategies,www.indeed.com/rc/clk?jk=7150f545ddc25e50,MD,Scientist - Predictive Analytics
indeed.com,1,Bellevue,T-Mobile,www.indeed.com/rc/clk?jk=9eda4adfd85ec71f,WA,Sr Statistician
indeed.com,2,Wayne,Sungard AS,www.indeed.com/rc/clk?jk=6cb56cfb5d69d828,PA,Portfolio Operations & Insights Business Analyst
indeed.com,3,Wayne,Sungard AS,www.indeed.com/rc/clk?jk=6e4970bbd4428297,PA,Portfolio Operations & Insights Jr. Business Analyst
indeed.com,4,Burlingame,TellApart,www.indeed.com/rc/clk?jk=2631250e2cfdc6b4,CA,Software Engineer
indeed.com,5,New York,EyeView,www.indeed.com/rc/clk?jk=d7da915999db38ec,NY,"Client Data Analyst, Analytics and Business Intelligence"
indeed.com,6,United States,Merkle Inc.,www.indeed.com/rc/clk?jk=dc0c1ea47fdfa9a6,,"Vice President, Retail & Consumer Packaged Goods Analytics Leader"
indeed.com,7,New York,Deloitte,www.indeed.com/rc/clk?jk=3c30e3e6f67e9100,NY,Advanced Analytics and Modeling - Banking & Securities - Specialist Master
indeed.com,8,Columbus,The Shipyard,www.indeed.com/cmp/People-To-My-Site/jobs/Web-Analytic-Manager-Digital-Data-Scientist-9efb748d7feab49c?r=1,OH,Web Analytics Manager and Digital Data Scientist
indeed.com,10,New York,Ipsos North America,www.indeed.com/rc/clk?jk=6a430df27e3f36de,NY,Analyst/Consultant/Manager - MMA (NYC/Norwalk/Chicago)
indeed.com,11,San Francisco,Wells Fargo,www.indeed.com/rc/clk?jk=82346cf10ed077b4,CA,Analytics Consultant 5
indeed.com,12,Beverly Hills,Netflix,www.indeed.com/rc/clk?jk=723413c6db230e6e,CA,Senior Data Scientist - Content Models & Algorithms
indeed.com,13,Chicago,Rocket Fuel Inc.,www.indeed.com/rc/clk?jk=e94b41d78503e963,IL,Analyst-Campaign Analytics-Chicago
indeed.com,14,Boston,Manulife Financial,www.indeed.com/rc/clk?jk=bff38bf8e4f25de7,MA,Data Scientist
indeed.com,16,United States,IBM,www.indeed.com/rc/clk?jk=1e9de407254d183b,,Predictive Asset Optimization Consultant - Center of Competency (CoC)
indeed.com,17,St. Louis,Monsanto,www.indeed.com/rc/clk?jk=b305748af3928862,MO,R&D IT Strategic Scientist Co op
indeed.com,18,San Francisco,Ashton212,www.indeed.com/cmp/Ashton212/jobs/Marketing-Database-Consultant-534b7204172704ca?r=1,CA,Marketing Database Consultant 1
indeed.com,19,San Francisco,Ashton212,www.indeed.com/cmp/Ashton212/jobs/Marketing-Database-Consultant-f724b3cc34c1f149?r=1,CA,Marketing Database Consultant 2
indeed.com,20,Rocklin,Blast Analytics & Marketing,www.indeed.com/rc/clk?jk=7e90b805dd214b79,CA,Senior Analytics Analyst
indeed.com,21,Pittsburgh,PNC Bank,www.indeed.com/rc/clk?jk=0c436ad152a10736,PA,Modeling Analyst III
indeed.com,22,Irvine,CBS Interactive,www.indeed.com/rc/clk?jk=3aaa963cfc1c5b00,CA,Business Intelligence & Analytics Lead
indeed.com,23,Columbus,IBM,www.indeed.com/rc/clk?jk=7561b798e7018f94,OH,"Advanced Analytics Associate Partner - Columbus, OH"
indeed.com,24,San Francisco,Salesforce,www.indeed.com/rc/clk?jk=d155ca66f12c93de,CA,HR Data Analyst
indeed.com,25,St. Louis,Monsanto,www.indeed.com/rc/clk?jk=a4f87343549347a1,MO,Global Operations Research Analyst
indeed.com,26,Charlotte,PeraHealth,www.indeed.com/rc/clk?jk=debf3ca2dc457021,NC,Senior Data Scientist
indeed.com,27,United States,Florida Virtual School,www.indeed.com/rc/clk?jk=b2e0cc16d55c6449,,Business Intelligence Developer
indeed.com,28,Baltimore,AGORA Inc.,www.indeed.com/rc/clk?jk=01ecf40cf99723c9,MD,Business Analyst
indeed.com,29,Belmont,Auction.com,www.indeed.com/rc/clk?jk=1322b92ef3c9ad50,CA,Director of Marketing and Site Analytics
indeed.com,30,Winston-Salem,Hanesbrands Inc,www.indeed.com/rc/clk?jk=a0f979795dea9175,NC,Analytics Technologist II
indeed.com,31,New York,The CDM Group,www.indeed.com/rc/clk?jk=8cbf9431463e5aa0,NY,"Vice President, Analytics"
indeed.com,32,North Andover,Converse,www.indeed.com/rc/clk?jk=04fd090988cdb4ca,MA,Senior Manager E-Commerce Analytics
indeed.com,34,Basking Ridge,Verizon Wireless,www.indeed.com/rc/clk?jk=4704d2cacff6abfb,NJ,Data Scientist
indeed.com,35,San Francisco,KP Recruiting Group,www.indeed.com/rc/clk?jk=5c9eba547fef9eeb,CA,Analytics and Pricing Analyst-Finance
indeed.com,36,Broomfield,Epsilon,www.indeed.com/rc/clk?jk=55e5d57bb4a108db,CO,"Director, Media Analytics"
